source,title,total_price_yuan,unit_price_yuan_per_m2,area_m2,rooms,location,city,district,block,page,price_per_m2,dataset,rent_month_yuan,rent_per_m2
esf,"万柳华府三期新上豪华装修复式,前后观景,拎包入住。",80000000.0,227920.0,351.0,4室3厅,万柳,北京,海淀,万柳,2,227920.0,sales,,
esf,万柳 阳春光华南北3居 一层有园 电梯车位 看房方便,18800000.0,137036.0,137.19,3室2厅,万柳,北京,海淀,万柳,2,137036.0,sales,,
esf,阳春光华 4室2厅2卫 带飘窗 带车库,22900000.0,129444.0,176.91,4室2厅,万柳,北京,海淀,万柳,2,129444.0,sales,,
esf,康桥水郡 2室2厅2卫 主卧朝南 客厅朝南,16500000.0,129584.0,127.33,2室2厅,万柳,北京,海淀,万柳,2,129584.0,sales,,
esf,万柳 碧水云天西区 高层观景 视野好 观看中关村灯光秀,7600000.0,125994.0,60.32,1室1厅,万柳,北京,海淀,万柳,2,125994.0,sales,,
esf,"(有钥匙)万柳书院精装高层南北观景平层,满五年,科技住宅",53500000.0,244985.0,218.38,3室2厅,万柳,北京,海淀,万柳,2,244985.0,sales,,
esf,万泉新新CEO城市官邸三卧朝南满五年税费少带车位,54000000.0,172111.0,313.75,4室3厅,万柳,北京,海淀,万柳,2,172111.0,sales,,
esf,观西山 顶层 花2居的钱住3居 看房随时 保养好 老业主委托,24000000.0,209442.0,114.59,2室2厅,万柳,北京,海淀,万柳,2,209442.0,sales,,
esf,万城华府龙园 1室1厅1卫 经典实用 格局方正,16000000.0,201943.0,79.23,1室1厅,万柳,北京,海淀,万柳,2,201943.0,sales,,
esf,万柳碧水云天 方正四居 总价低 双车位,25680000.0,144043.0,178.28,4室2厅,万柳,北京,海淀,万柳,2,144043.0,sales,,
esf,万柳书院 新出C户型大平层 位于中间位置 明厨明卫 户型方正,67000000.0,254115.0,263.66,3室2厅,万柳,北京,海淀,万柳,2,254115.0,sales,,
esf,涧桥泊屋馆 2室2厅2卫 格局方正 品质小区,14990000.0,117845.0,127.2,2室2厅,万柳,北京,海淀,万柳,2,117845.0,sales,,
esf,万柳品质第三纯板楼社区 人车分流 中间位置餐客厅分离 钥匙房,22900000.0,153691.0,149.0,3室2厅,万柳,北京,海淀,万柳,2,153691.0,sales,,
